Quote_ID,QuoteConversion_Flag
13644,0
1967,0
25705,0
2306,0
12428,0
10763,0
11827,0
10923,0
21413,1
6140,0
537,0
2977,0
3763,1
16165,0
6345,0
2568,0
24569,0
2085,0
22872,0
11517,0
20149,1
15232,0
5763,0
6165,1
8788,1
13064,0
25157,0
10558,0
18250,0
2625,0
3372,0
4069,0
1370,0
2045,0
9516,0
13888,0
25620,0
9082,1
24814,0
6968,0
2671,1
19350,0
24636,1
18480,1
19592,0
23122,0
14602,1
14128,1
12028,0
22364,0
15315,0
4140,0
25594,1
4043,1
4157,0
17349,0
12542,1
1505,1
15609,0
15650,1
983,1
12391,1
7920,0
14697,1
491,0
4752,1
9578,0
3161,1
7068,0
12714,0
18702,1
17988,1
7120,0
7369,0
3926,0
573,0
24049,0
22185,0
6201,0
2446,1
15898,0
9412,0
12659,0
18123,0
18226,0
3314,1
22100,1
22841,0
21462,0
25491,0
21956,0
15565,0
12054,0
25868,1
7893,0
744,0
8925,0
10864,0
5302,1
1171,0
19159,0
2481,0
1686,0
20894,0
13400,0
13547,1
18492,0
1097,1
19254,0
8336,1
24955,0
21346,0
19089,1
4072,0
1639,0
9980,0
493,0
10791,0
10788,1
4075,0
14920,0
2662,0
21745,0
16570,0
17599,0
12561,1
3982,1
12795,0
11951,0
4260,0
6901,1
7725,0
3509,0
13504,1
20704,1
19563,1
1496,1
18459,0
3782,0
1548,1
18466,1
22995,0
25038,0
7264,1
16627,0
8359,0
10688,0
2543,1
24984,0
10121,0
10265,0
279,1
15750,0
16449,0
3270,0
22351,0
3246,0
94,0
316,0
20962,0
169,1
19091,1
23937,0
2730,1
7478,1
21267,0
14411,1
10102,0
14160,1
4566,1
11560,0
19130,0
23443,0
11506,0
5990,0
24599,1
22469,0
12634,1
25593,0
12167,0
22916,0
11115,1
7640,0
10762,0
6632,0
18325,0
19014,1
3236,0
545,1
23258,0
25286,0
16728,0
617,1
3021,1
11141,0
12570,0
15689,0
14912,0
4241,1
25010,0
16968,1
16754,0
3438,0
11652,0
9434,1
25150,1
15204,1
23840,1
1285,1
2581,0
9939,0
18640,0
1176,0
9678,1
25456,0
24968,1
18090,1
17946,1
21959,0
17285,0
21576,0
13503,0
23225,0
412,0
14295,1
23280,1
12648,0
23964,0
14416,0
708,0
21194,0
10584,0
8722,0
4960,0
13593,1
18005,0
22331,1
23591,1
14024,0
22191,0
2592,1
25542,1
8817,0
18802,0
16200,0
6144,1
21047,0
20624,1
21308,0
17098,1
11221,0
2412,0
24030,0
16652,0
5225,0
22260,0
7979,0
14703,0
25344,0
13837,0
575,0
4951,1
8809,0
15081,0
8432,0
17908,0
3094,0
8581,0
17024,1
1596,0
20019,1
13719,1
25907,0
24405,0
14790,0
4026,0
4306,0
6805,0
16718,0
22579,0
12681,1
8444,0
20080,0
12422,0
11123,0
24080,0
23109,0
1308,0
23180,0
17730,0
21196,0
23673,1
15370,0
2975,0
22616,0
20344,1
16189,0
3622,1
11915,0
15872,0
12120,0
13895,0
23332,0
1049,0
358,0
8831,1
11333,1
577,0
9754,0
7649,1
11324,0
21423,1
14926,0
21914,0
19072,0
14173,1
25440,0
24026,1
14729,0
16853,1
1079,0
4708,0
1076,1
7767,0
21985,1
1772,0
22653,1
1264,0
889,0
8232,0
1829,1
24304,0
14884,0
8917,1
18869,1
262,0
11727,0
789,1
9547,1
23405,0
3739,0
11711,1
13607,0
9593,0
24323,0
191,1
923,0
24409,1
13286,0
10127,0
8733,0
11910,1
3670,0
