Quote_ID,QuoteConversion_Flag
13644,1
1967,1
25705,1
2306,0
12428,0
10763,0
11827,1
10923,1
21413,1
6140,0
537,0
2977,0
3763,0
16165,1
6345,0
2568,0
24569,1
2085,0
22872,0
11517,0
20149,1
15232,1
5763,0
6165,1
8788,1
13064,0
25157,1
10558,0
18250,0
2625,0
3372,0
4069,1
1370,0
2045,0
9516,1
13888,0
25620,0
9082,1
24814,0
6968,0
2671,1
19350,0
24636,0
18480,1
19592,0
23122,0
14602,1
14128,1
12028,1
22364,1
15315,0
4140,1
25594,1
4043,1
4157,0
17349,0
12542,1
1505,1
15609,0
15650,1
983,1
12391,1
7920,0
14697,1
491,0
4752,1
9578,0
3161,1
7068,0
12714,1
18702,1
17988,1
7120,0
7369,1
3926,1
573,0
24049,0
22185,0
6201,0
2446,1
15898,0
9412,0
12659,0
18123,0
18226,1
3314,0
22100,0
22841,0
21462,0
25491,0
21956,0
15565,1
12054,1
25868,1
7893,0
744,0
8925,1
10864,0
5302,1
1171,0
19159,0
2481,1
1686,0
20894,0
13400,0
13547,1
18492,0
1097,1
19254,0
8336,1
24955,1
21346,0
19089,0
4072,0
1639,0
9980,1
493,0
10791,0
10788,1
4075,0
14920,1
2662,0
21745,1
16570,0
17599,1
12561,1
3982,1
12795,0
11951,0
4260,0
6901,1
7725,1
3509,0
13504,1
20704,1
19563,1
1496,0
18459,0
3782,0
1548,1
18466,1
22995,0
25038,0
7264,1
16627,1
8359,0
10688,0
2543,1
24984,0
10121,1
10265,1
279,1
15750,1
16449,0
3270,1
22351,0
3246,0
94,1
316,0
20962,0
169,1
19091,1
23937,0
2730,1
7478,1
21267,0
14411,1
10102,0
14160,1
4566,1
11560,1
19130,0
23443,0
11506,1
5990,1
24599,1
22469,0
12634,0
25593,1
12167,0
22916,0
11115,1
7640,0
10762,0
6632,1
18325,1
19014,1
3236,0
545,0
23258,1
25286,1
16728,0
617,0
3021,1
11141,0
12570,0
15689,1
14912,1
4241,1
25010,1
16968,0
16754,0
3438,1
11652,0
9434,1
25150,1
15204,1
23840,1
1285,1
2581,1
9939,0
18640,1
1176,0
9678,1
25456,1
24968,0
18090,1
17946,1
21959,0
17285,1
21576,1
13503,0
23225,0
412,0
14295,1
23280,1
12648,0
23964,1
14416,0
708,0
21194,1
10584,0
8722,0
4960,1
13593,1
18005,0
22331,1
23591,1
14024,1
22191,1
2592,1
25542,1
8817,1
18802,0
16200,1
6144,1
21047,1
20624,1
21308,0
17098,1
11221,1
2412,0
24030,0
16652,0
5225,0
22260,1
7979,1
14703,0
25344,0
13837,0
575,0
4951,1
8809,1
15081,1
8432,1
17908,1
3094,0
8581,1
17024,1
1596,0
20019,1
13719,0
25907,0
24405,1
14790,0
4026,0
4306,0
6805,0
16718,0
22579,0
12681,1
8444,0
20080,0
12422,0
11123,1
24080,0
23109,1
1308,0
23180,1
17730,1
21196,0
23673,1
15370,1
2975,0
22616,0
20344,1
16189,0
3622,1
11915,0
15872,0
12120,0
13895,1
23332,0
1049,0
358,0
8831,1
11333,1
577,0
9754,1
7649,1
11324,0
21423,1
14926,0
21914,0
19072,0
14173,1
25440,0
24026,1
14729,0
16853,1
1079,1
4708,0
1076,1
7767,1
21985,1
1772,0
22653,1
1264,1
889,0
8232,0
1829,1
24304,1
14884,0
8917,1
18869,0
262,0
11727,0
789,1
9547,1
23405,0
3739,0
11711,0
13607,0
9593,0
24323,1
191,1
923,0
24409,1
13286,1
10127,1
8733,1
11910,1
3670,0
12961,0
17321,1
8502,1
6386,0
22793,0
9129,0
6691,1
22852,1
7880,0
8409,0
23507,0
13680,1
3222,0
8723,0
14161,0
782,1
7485,1
13336,0
15016,1
19242,1
16671,0
10567,0
14765,1
242,1
25464,0
25951,1
22284,1
23894,1
5196,1
8670,1
17427,0
16712,1
7644,0
8488,0
21798,0
20829,1
24311,0
7457,0
24444,0
17999,0
2817,1
19574,1
1392,1
11630,1
9802,1
15437,0
23222,0
17860,0
23038,1
12394,1
6751,1
740,1
14635,0
5711,0
10176,1
1011,1
18378,0
9467,0
16125,0
10424,1
25798,0
10159,1
23537,0
13013,0
15331,0
11266,1
25391,0
21107,1
14264,1
15704,0
25049,0
9271,0
21202,1
26070,1
679,1
8271,1
21644,0
15680,0
18806,1
26044,1
19257,1
15388,1
24300,0
11651,0
4520,1
14516,0
13148,1
20812,1
11258,0
184,1
17563,0
8427,1
6503,1
8658,1
22731,0
18920,0
15102,0
19279,1
9395,1
17265,0
12564,0
10891,0
16087,0
556,0
16809,1
21639,1
20527,0
20178,0
8869,1
23677,0
17099,1
9665,1
25059,1
3167,1
23353,1
11264,0
3760,0
15779,0
9616,1
21182,1
22812,1
9446,0
8483,0
19767,1
14547,0
9753,0
2882,1
18003,0
20203,0
118,1
422,0
10499,0
18191,1
19162,0
5025,0
5509,1
9106,0
3220,0
3241,0
5514,0
8570,1
25214,1
8620,0
10553,0
5464,0
11658,1
2236,0
3407,0
18114,0
22387,0
21179,0
22214,1
11445,0
23131,0
1387,0
8149,1
22759,1
22589,1
4859,0
4541,0
4283,1
16009,0
22347,0
13073,0
59,1
5789,0
23628,1
19512,0
23793,1
10873,0
6892,1
11538,1
22018,1
25977,1
23999,0
11200,1
16953,1
18742,0
19190,0
10994,1
7969,0
1380,0
19831,1
10967,0
20549,1
24442,0
25865,0
21730,0
1015,0
12655,1
8424,1
12796,1
13931,0
15280,0
17365,1
20046,0
15145,0
9218,0
15806,1
6874,1
9513,1
8299,1
22905,1
7745,1
4640,1
6988,1
22411,0
20563,1
3537,1
16053,0
13271,0
20379,0
14308,1
22184,1
6671,1
19101,0
7304,0
933,0
17610,0
25947,0
17892,1
6735,0
6296,1
21490,0
3176,1
16502,1
64,0
24084,1
12575,1
25373,0
14321,1
8009,0
13171,0
24472,1
25296,1
11388,0
12082,0
16974,0
6930,1
8292,0
19814,0
13693,1
11460,0
19519,0
702,0
19341,1
10023,0
13975,0
13929,1
11316,1
13568,0
3450,1
16110,0
1058,1
3814,0
18853,1
13805,1
12590,1
2640,0
15435,1
24467,1
12886,1
17627,1
12574,1
13611,0
15858,1
6556,0
5858,0
18058,1
8215,0
23351,1
25872,0
16948,0
18576,1
21648,1
2320,1
5321,0
3187,0
15614,0
16933,1
16942,1
10075,0
19004,0
1488,0
14054,0
11260,1
12218,0
8725,0
15723,1
6618,1
25452,1
4491,1
7984,1
23150,1
7483,1
3606,0
5625,1
2363,0
2976,1
9242,0
7943,0
7839,0
24997,1
14383,0
14117,1
9823,0
15203,0
24716,0
10053,0
23044,0
25941,0
21398,0
8640,0
13037,0
21545,0
20271,1
5056,0
2921,0
25971,1
842,1
21466,1
2155,0
4606,0
13976,0
19280,1
21094,0
17206,1
2368,0
5929,1
5612,1
15540,0
15351,1
24880,1
23315,1
25088,0
16737,0
2571,0
25472,0
13465,1
11584,1
8173,1
10795,0
1446,1
2187,0
18909,0
13757,1
17772,0
241,0
5756,0
24524,1
9853,1
17169,0
25949,1
14032,1
8587,0
3951,0
21788,0
18074,0
7115,1
22234,0
24153,1
9281,0
1074,1
19926,0
14139,0
20660,1
24576,0
5005,1
10832,1
21237,1
9127,0
14448,0
9414,0
19865,0
11908,1
17261,1
2892,1
13084,0
5011,1
2672,0
25142,0
8652,0
23376,0
20988,0
2419,0
20568,1
15572,0
14364,1
1672,0
17882,1
21357,0
15662,1
13057,1
13385,1
15724,0
21500,0
4167,0
15510,1
24237,1
25596,1
248,0
3184,0
22504,1
21605,0
24528,0
11289,0
23891,0
14169,1
69,1
10280,0
