Quote_ID,Original_Quote_Date,Field_info1,Field_info2,Field_info3,Field_info4,Coverage_info1,Coverage_info2,Coverage_info3,Sales_info1,Sales_info2,Sales_info3,Sales_info4,Sales_info5,Personal_info1,Personal_info2,Personal_info3,Personal_info4,Personal_info5,Property_info1,Property_info2,Property_info3,Property_info4,Property_info5,Geographic_info1,Geographic_info2,Geographic_info3,Geographic_info4,Geographic_info5
13644,4/02/2014,F,0.9685,548,N,11,22,E,1,5,7,P,28049,N,13,ZF,0,,N,0,R,1,20,4,19,-1,N,NJ
1967,16/03/2015,B,0.9153,935,N,7,22,D,1,5,20,K,57194,N,-1,ZA,0,2,N,0,I,1,18,2,13,-1,N,CA
25705,24/03/2014,F,0.9566,548,N,21,22,E,1,5,11,K,10090,N,-1,ZG,0,,N,0,Q,1,17,4,21,-1,N,NJ
2306,26/11/2013,B,0.9403,965,N,25,22,D,1,5,7,P,1376,N,13,ZA,0,2,N,0,O,0,20,2,4,-1,N,CA
12428,2/01/2015,J,0.887,"1,113",N,4,22,K,1,5,11,V,66953,N,18,XS,0,,N,0,I,1,8,18,4,-1,N,TX
10763,20/06/2014,E,0.9392,"1,487",N,6,22,K,1,5,20,V,47506,N,7,ZA,0,2,N,0,J,0,13,9,25,-1,N,IL
11827,18/12/2013,F,0.9838,564,N,19,22,E,0,5,7,T,48803,N,-1,XB,0,,N,0,S,1,20,4,21,-1,N,NJ
10923,5/10/2013,B,0.9403,965,N,16,22,D,1,5,20,K,35469,N,-1,ZA,0,2,N,0,O,1,12,2,4,-1,N,CA
21413,18/11/2014,F,1.0006,548,N,4,22,E,1,4,11,Q,1710,N,5,XR,0,,N,0,R,1,8,4,16,-1,N,NJ
6140,13/03/2013,E,0.9375,"1,480",N,2,22,K,1,5,23,T,12857,N,17,ZA,0,2,N,0,R,0,1,9,23,-1,N,IL
537,24/07/2014,B,0.9153,935,N,11,22,D,1,5,11,Q,1119,N,8,ZA,0,2,Y,0,O,0,17,2,4,25,N,CA
2977,28/03/2014,B,0.9153,935,N,10,22,E,0,4,11,V,17862,N,5,ZA,0,1,N,0,O,1,6,2,5,-1,N,CA
3763,2/01/2013,E,0.9368,"1,480",N,1,22,K,1,3,14,T,26402,N,6,XE,0,,N,0,Q,1,1,9,25,-1,N,IL
16165,8/09/2014,F,1.0006,548,N,10,22,E,1,5,11,K,45627,N,18,XW,0,,Y,0,R,1,11,4,17,-1,N,NJ
6345,31/07/2014,J,0.8928,"1,113",N,6,22,A,1,4,22,Q,22222,N,15,XJ,0,,N,0,J,1,4,15,4,-1,N,TX
2568,29/01/2014,B,0.9403,935,N,5,22,D,1,5,7,T,44116,N,13,ZA,0,2,N,0,O,0,9,2,14,-1,N,CA
24569,7/08/2014,B,0.9153,935,N,13,22,E,1,4,11,Q,9353,N,3,ZA,0,2,N,0,O,0,24,1,4,-1,N,CA
2085,2/06/2014,J,0.8928,"1,113",N,11,22,G,0,5,11,K,49346,N,6,ZA,0,2,N,0,J,0,14,14,5,-1,N,TX
22872,6/03/2015,K,0.887,"1,113",Y,2,2,K,1,4,11,K,41484,N,5,XR,0,,N,0,D,1,7,24,13,-1,N,TX
11517,25/03/2014,J,0.8922,"1,113",N,11,22,F,0,5,11,P,1213,N,17,XR,0,,N,0,L,1,10,18,4,-1,N,TX
20149,16/12/2014,B,0.9153,935,N,10,22,D,1,4,11,K,30088,N,15,ZA,0,2,Y,0,O,1,21,2,14,-1,N,CA
15232,23/06/2013,B,0.9403,965,N,18,22,D,1,5,17,M,31606,N,-1,ZA,0,2,N,0,O,0,25,2,9,-1,N,CA
5763,16/09/2013,B,0.9403,965,N,3,22,D,1,5,20,K,11584,N,7,ZA,0,2,N,0,O,0,3,2,12,25,N,CA
6165,14/04/2014,E,0.9392,"1,487",N,11,22,A,1,3,20,K,19186,N,5,XO,0,2,Y,0,D,1,17,9,25,-1,N,IL
8788,13/05/2013,F,0.9313,564,N,19,25,E,1,3,15,K,30587,N,6,ZR,0,,N,0,N,1,22,4,16,-1,N,NJ
13064,19/02/2013,E,0.9368,"1,480",N,4,22,K,1,5,23,K,33971,N,8,ZA,0,2,N,0,R,0,9,9,23,-1,N,IL
25157,3/09/2014,F,1.0006,548,N,7,22,E,1,5,11,T,59714,N,8,XJ,0,,N,0,J,1,3,4,18,-1,N,NJ
10558,9/09/2013,J,0.9497,"1,165",N,13,22,G,1,5,4,K,41750,N,10,ZA,0,2,N,0,J,0,12,20,4,-1,N,TX
18250,18/04/2014,E,0.9392,"1,487",N,2,22,K,1,4,11,P,59435,N,6,XW,0,2,N,0,R,1,4,10,24,-1,N,IL
2625,5/02/2015,C,0.9108,"1,487",Y,17,22,A,1,5,11,Q,21269,N,4,ZH,0,,N,0,I,1,15,11,24,-1,N,IL
3372,22/03/2013,J,0.9769,"1,165",N,5,22,F,1,5,23,V,38446,N,10,ZA,0,2,N,0,J,0,10,10,4,-1,N,TX
4069,14/07/2013,F,0.9919,564,N,4,22,E,0,5,17,M,55180,N,-1,ZG,0,,N,0,R,0,10,4,21,-1,N,NJ
1370,1/01/2014,E,0.9472,"1,487",N,1,22,K,1,5,7,T,56209,N,4,ZA,0,2,N,0,R,0,2,11,23,-1,N,IL
2045,15/11/2014,J,0.887,"1,113",N,3,22,F,1,5,11,R,10688,N,-1,ZA,0,2,N,0,S,0,1,24,14,-1,N,TX
9516,28/01/2013,B,0.9219,965,N,6,22,E,1,5,23,K,45718,N,5,ZA,0,2,N,0,O,1,20,2,8,-1,N,CA
13888,6/10/2014,J,0.8793,"1,113",N,21,25,G,0,4,11,T,51123,N,8,XR,0,,Y,0,J,1,22,14,4,-1,Y,TX
25620,4/03/2014,J,0.8922,"1,113",N,4,22,F,0,5,11,P,51519,N,4,ZA,0,2,N,0,J,0,2,24,13,-1,N,TX
9082,21/12/2013,B,0.9403,965,N,5,22,D,1,3,7,V,53090,N,5,ZA,0,2,N,0,D,1,17,2,10,-1,N,CA
24814,11/07/2014,J,0.8928,"1,113",N,9,22,A,0,3,11,V,61695,N,4,ZT,0,,N,0,J,1,13,3,5,-1,N,TX
6968,20/04/2015,K,0.887,"1,113",Y,7,22,F,1,5,11,K,40021,N,7,ZH,0,,N,0,J,1,4,25,10,-1,N,TX
2671,25/09/2013,F,0.9919,564,N,10,22,E,0,3,4,T,37915,N,-1,ZN,0,,N,0,R,1,18,4,19,-1,N,NJ
19350,28/03/2015,K,0.887,"1,113",Y,8,22,A,1,5,11,R,32455,N,7,YF,0,,N,0,J,1,12,14,8,-1,N,TX
24636,11/07/2013,J,0.9691,"1,165",N,13,22,B,1,3,1,T,435,N,-1,ZH,0,,N,0,D,1,21,14,5,-1,N,TX
18480,31/01/2014,F,0.9838,548,N,20,22,E,1,4,7,V,55166,N,6,ZK,0,1,N,0,R,1,23,4,19,-1,N,NJ
19592,15/04/2014,J,0.8922,"1,113",N,23,22,G,1,5,22,K,20847,N,6,XJ,0,,N,0,J,1,9,25,11,-1,N,TX
