Quote_ID,QuoteConversion_Flag
11405,0
21611,0
49307,1
78210,0
24625,0
26509,0
11308,0
40869,1
55152,0
76163,0
36741,1
10454,0
16531,0
38276,1
47742,0
13049,0
51436,0
45834,1
17875,0
53337,1
23792,0
64978,0
4377,0
36353,1
28859,0
56948,1
45509,0
77674,1
23506,1
41533,1
30101,1
53468,1
24539,1
2567,0
55559,0
57486,1
58161,1
30767,0
27160,1
75451,0
40174,0
65160,1
40730,1
24571,1
50222,1
54917,0
61609,0
76488,1
57622,0
51233,0
48774,1
38580,0
36441,0
27093,1
44088,1
77318,1
74522,0
31436,0
21692,1
77860,1
72279,0
56050,1
51959,1
33620,1
74560,1
77862,1
48297,1
34703,1
26749,1
30151,1
19503,1
12480,0
29282,0
34173,1
51368,0
56563,0
69306,0
76982,0
45622,0
53574,1
34848,1
15950,1
52101,1
25359,1
43165,1
62083,0
22027,0
63412,1
21255,1
54311,0
32735,0
60664,0
7736,1
12553,0
34471,1
63718,0
52625,1
15149,1
3004,1
48956,0
20889,0
35,0
75401,0
74133,1
12452,0
51945,0
55677,0
53654,0
64684,0
32241,1
72757,0
77676,1
54428,1
5890,0
37186,1
23353,0
38813,0
45036,1
50554,1
29106,0
16883,1
27636,0
26372,0
53248,0
19637,1
42683,1
66071,0
16241,0
63801,0
51030,0
16503,1
3635,1
39217,0
13804,1
73928,1
21767,1
19218,1
7880,0
54307,1
8839,0
28269,1
50432,1
73890,1
45213,1
16019,1
21863,0
74038,1
28277,0
3009,0
76016,0
8773,1
16460,1
36587,0
43731,1
42164,0
14239,0
60357,1
43536,0
37216,0
27736,1
56280,1
60354,1
63808,0
54700,1
39080,0
10833,0
27608,0
75464,1
58893,1
4301,1
28221,0
53464,0
10083,1
58261,0
66821,0
3502,1
18411,1
47488,1
66663,0
6009,0
59174,1
59816,0
66552,0
64786,0
61391,1
27504,1
53354,0
33451,1
17694,1
5940,1
4027,1
53738,0
60243,1
23385,0
11676,1
76180,0
46710,0
13000,0
5306,0
60815,1
64054,1
