Quote_ID,QuoteConversion_Flag
13644,1
1967,0
25705,0
2306,1
12428,1
10763,1
11827,0
10923,0
21413,1
6140,1
537,1
2977,0
3763,1
16165,1
6345,1
2568,1
24569,0
2085,0
22872,1
11517,1
20149,1
15232,0
5763,1
6165,0
8788,1
13064,1
25157,1
10558,1
18250,1
2625,0
3372,1
4069,0
1370,0
2045,0
9516,1
13888,1
25620,0
9082,1
24814,0
6968,1
2671,0
19350,1
24636,0
18480,1
19592,1
23122,1
14602,1
14128,1
12028,1
22364,0
15315,0
4140,1
25594,1
4043,1
4157,0
17349,1
12542,1
1505,0
15609,0
15650,0
983,1
12391,1
7920,0
14697,1
491,0
4752,1
9578,1
3161,0
7068,0
12714,0
18702,1
17988,1
7120,0
7369,0
3926,0
573,0
24049,1
22185,0
6201,1
2446,1
15898,1
9412,0
12659,1
18123,0
18226,1
3314,1
22100,0
22841,1
21462,1
25491,1
21956,1
15565,1
12054,0
25868,1
7893,0
744,1
8925,1
10864,0
5302,1
1171,0
19159,1
2481,0
1686,0
20894,1
13400,0
13547,0
18492,1
1097,1
19254,1
8336,1
24955,0
21346,0
19089,1
4072,1
1639,1
9980,1
493,1
10791,0
10788,0
4075,1
14920,0
2662,1
21745,0
16570,1
17599,0
12561,0
3982,1
12795,0
11951,1
4260,1
6901,0
7725,0
3509,1
13504,1
20704,0
19563,1
1496,1
18459,1
3782,0
1548,1
18466,1
22995,0
25038,1
7264,1
16627,1
8359,1
10688,1
2543,1
24984,1
10121,0
10265,1
279,0
15750,1
16449,0
3270,0
22351,1
3246,0
94,1
316,0
20962,1
169,1
19091,1
23937,1
2730,1
7478,0
21267,0
14411,0
10102,1
14160,0
4566,1
11560,0
19130,1
23443,1
11506,1
5990,1
24599,1
22469,0
12634,0
25593,0
12167,0
22916,0
11115,1
7640,0
10762,0
6632,1
18325,0
19014,0
3236,0
545,0
23258,0
25286,0
16728,0
617,1
3021,1
11141,0
12570,1
15689,1
14912,0
4241,1
25010,1
16968,0
16754,1
3438,1
11652,0
9434,0
25150,1
15204,0
23840,0
1285,0
2581,0
9939,0
18640,1
1176,0
9678,1
25456,0
24968,1
18090,0
17946,0
21959,1
17285,0
21576,1
13503,0
23225,1
412,0
14295,0
23280,1
12648,0
23964,1
14416,0
708,0
21194,0
10584,1
8722,1
4960,0
13593,1
18005,1
22331,1
23591,0
14024,1
22191,0
2592,1
25542,1
8817,1
18802,0
16200,0
6144,0
21047,0
20624,0
21308,1
17098,0
11221,0
2412,1
24030,0
16652,0
5225,0
22260,0
7979,1
14703,1
25344,1
13837,0
575,0
4951,1
8809,0
15081,0
8432,0
17908,1
3094,0
8581,0
17024,0
1596,0
20019,1
13719,1
25907,0
24405,1
14790,1
4026,1
4306,1
6805,1
16718,1
22579,1
12681,1
8444,0
20080,1
12422,0
11123,0
24080,0
23109,0
1308,1
23180,1
17730,1
21196,1
23673,1
15370,1
2975,1
22616,1
20344,1
16189,1
3622,0
11915,1
15872,1
12120,1
13895,0
23332,0
1049,1
358,1
8831,1
11333,0
577,0
9754,1
7649,1
11324,1
21423,1
14926,0
21914,1
19072,0
14173,1
25440,1
24026,0
14729,0
16853,1
1079,1
4708,1
1076,1
7767,0
21985,1
1772,1
22653,1
1264,1
889,0
8232,1
1829,1
24304,1
14884,1
8917,0
18869,0
262,1
11727,0
789,0
9547,1
23405,1
3739,1
11711,0
13607,1
9593,0
24323,0
191,1
923,0
24409,1
13286,1
10127,1
8733,0
11910,1
3670,1
12961,0
17321,0
8502,1
6386,1
22793,1
9129,1
6691,1
22852,0
7880,1
8409,0
23507,0
13680,0
3222,0
8723,0
14161,0
782,1
7485,0
13336,1
15016,1
19242,0
16671,1
10567,1
14765,1
242,1
25464,0
25951,1
22284,1
23894,0
5196,0
8670,0
17427,0
16712,1
7644,1
8488,1
21798,0
20829,0
24311,1
7457,1
24444,1
17999,1
2817,0
19574,0
1392,1
11630,0
9802,1
15437,0
23222,0
17860,0
23038,1
12394,0
6751,1
740,0
14635,1
5711,1
10176,0
1011,0
18378,1
9467,0
16125,1
10424,1
25798,1
10159,0
23537,1
13013,0
15331,1
11266,0
25391,0
21107,1
14264,0
15704,0
25049,1
9271,1
21202,1
26070,0
679,1
8271,1
21644,1
